,image_id,generator,number,female,male,age_details
1016,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-17.jpg,mid_journey,2,1,1,"[['Male', 80], ['Female', 28]]"
1017,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-3.jpg,mid_journey,3,3,0,"[['Female', 28], ['Female', 28], ['Female', 28]]"
1018,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-48.png,mid_journey,2,0,2,"[['Male', 10], ['Male', 5]]"
1019,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-58.png,mid_journey,3,1,2,"[['Female', 40], ['Male', 80], ['Male', 28]]"
1020,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-54.png,mid_journey,2,2,0,"[['Female', 80], ['Female', 28]]"
1021,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-2.jpg,mid_journey,3,3,0,"[['Female', 80], ['Female', 28], ['Female', 28]]"
1022,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-37.png,mid_journey,3,2,1,"[['Female', 80], ['Male', 40], ['Female', 40]]"
1023,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-1.jpg,mid_journey,3,2,1,"[['Female', 28], ['Male', 40], ['Female', 40]]"
1024,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-129.png,mid_journey,2,1,1,"[['Female', 28], ['Male', 28]]"
1025,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-92.png,mid_journey,3,2,1,"[['Female', 28], ['Male', 28], ['Female', 28]]"
1026,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-4.jpg,mid_journey,4,3,1,"[['Female', 28], ['Male', 80], ['Female', 28], ['Female', 28]]"
1027,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-76.png,mid_journey,2,1,1,"[['Male', 28], ['Female', 28]]"
