,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
22,22,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-4.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:18.551765', 'order': 1688823318}}"
23,23,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-9.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:19.391204', 'order': 1688823319}}"
24,24,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-120.jpg,stabilityai,6,3,3,0,6,0,"{'status': 200, 'data': {'detections': [{'confidence': 91.68340301513672, 'left': 350, 'top': 396, 'width': 10, 'height': 13, 'gender': {'gender': 'Male', 'confidence': 77.24909973144531}, 'age': {'minimum': 18, 'maximum': 24}}, {'confidence': 97.02790069580078, 'left': 406, 'top': 403, 'width': 10, 'height': 13, 'gender': {'gender': 'Female', 'confidence': 95.78813934326172}, 'age': {'minimum': 14, 'maximum': 22}}, {'confidence': 98.7634506225586, 'left': 427, 'top': 406, 'width': 9, 'height': 12, 'gender': {'gender': 'Female', 'confidence': 98.71784210205078}, 'age': {'minimum': 18, 'maximum': 26}}, {'confidence': 91.31787109375, 'left': 371, 'top': 396, 'width': 9, 'height': 12, 'gender': {'gender': 'Male', 'confidence': 69.1822738647461}, 'age': {'minimum': 20, 'maximum': 28}}, {'confidence': 93.89710998535156, 'left': 386, 'top': 404, 'width': 9, 'height': 11, 'gender': {'gender': 'Male', 'confidence': 91.24537658691406}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 92.50110626220703, 'left': 466, 'top': 401, 'width': 9, 'height': 11, 'gender': {'gender': 'Female', 'confidence': 87.47480773925781}, 'age': {'minimum': 22, 'maximum': 30}}], 'date': '2023-07-08T13:35:20.826909', 'order': 1688823320}}"
25,25,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-92.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.7057113647461, 'left': 160, 'top': 228, 'width': 24, 'height': 36, 'gender': {'gender': 'Male', 'confidence': 99.05615234375}, 'age': {'minimum': 20, 'maximum': 28}}, {'confidence': 99.5418930053711, 'left': 434, 'top': 215, 'width': 23, 'height': 33, 'gender': {'gender': 'Male', 'confidence': 98.6511459350586}, 'age': {'minimum': 42, 'maximum': 50}}], 'date': '2023-07-08T13:35:21.696336', 'order': 1688823321}}"
26,26,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-158.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:22.444028', 'order': 1688823322}}"
27,27,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-145.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:23.123606', 'order': 1688823323}}"
28,28,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-174.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 91.40802001953125, 'left': 59, 'top': 419, 'width': 9, 'height': 16, 'gender': {'gender': 'Male', 'confidence': 85.70140075683594}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 92.24821472167969, 'left': 352, 'top': 383, 'width': 9, 'height': 11, 'gender': {'gender': 'Female', 'confidence': 99.22154998779297}, 'age': {'minimum': 18, 'maximum': 26}}], 'date': '2023-07-08T13:35:24.569656', 'order': 1688823324}}"
29,29,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-143.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:25.221664', 'order': 1688823325}}"
30,30,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-102.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:26.064169', 'order': 1688823326}}"
31,31,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-176.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:26.789590', 'order': 1688823326}}"
