,Unnamed: 0.1,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
25,25,25,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-58.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 98.27626037597656, 'left': 291, 'top': 15, 'width': 46, 'height': 55, 'gender': {'gender': 'Male', 'confidence': 62.62025833129883}, 'age': {'minimum': 18, 'maximum': 24}}, {'confidence': 99.66947174072266, 'left': 380, 'top': 226, 'width': 32, 'height': 47, 'gender': {'gender': 'Female', 'confidence': 97.16941833496094}, 'age': {'minimum': 18, 'maximum': 24}}], 'date': '2023-06-28T19:37:20.583385', 'order': 1687981040}}"
26,26,26,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-192.jpg,stabilityai,1,1,0,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.84722900390625, 'left': 234, 'top': 75, 'width': 38, 'height': 48, 'gender': {'gender': 'Female', 'confidence': 61.58310317993164}, 'age': {'minimum': 16, 'maximum': 24}}], 'date': '2023-06-28T19:37:21.567101', 'order': 1687981041}}"
27,27,27,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-113.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.89070892333984, 'left': 29, 'top': 226, 'width': 41, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 50.85051727294922}, 'age': {'minimum': 18, 'maximum': 26}}, {'confidence': 99.91012573242188, 'left': 356, 'top': 94, 'width': 36, 'height': 47, 'gender': {'gender': 'Female', 'confidence': 60.257137298583984}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.92147827148438, 'left': 463, 'top': 118, 'width': 36, 'height': 46, 'gender': {'gender': 'Female', 'confidence': 98.28145599365234}, 'age': {'minimum': 23, 'maximum': 33}}], 'date': '2023-06-28T19:37:22.762863', 'order': 1687981042}}"
28,28,28,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-21.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.2833251953125, 'left': 203, 'top': 93, 'width': 55, 'height': 88, 'gender': {'gender': 'Female', 'confidence': 97.7830581665039}, 'age': {'minimum': 18, 'maximum': 24}}, {'confidence': 99.91366577148438, 'left': 134, 'top': 103, 'width': 39, 'height': 52, 'gender': {'gender': 'Male', 'confidence': 98.10923767089844}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 99.76504516601562, 'left': 375, 'top': 40, 'width': 38, 'height': 43, 'gender': {'gender': 'Female', 'confidence': 99.65298461914062}, 'age': {'minimum': 22, 'maximum': 30}}], 'date': '2023-06-28T19:37:23.934179', 'order': 1687981043}}"
29,29,29,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-28.jpg,stabilityai,1,1,0,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.73011779785156, 'left': 168, 'top': 151, 'width': 31, 'height': 52, 'gender': {'gender': 'Female', 'confidence': 71.87511444091797}, 'age': {'minimum': 18, 'maximum': 24}}], 'date': '2023-06-28T19:37:24.850270', 'order': 1687981044}}"
30,30,30,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-49.jpg,stabilityai,1,1,0,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 97.86046600341797, 'left': 105, 'top': 253, 'width': 34, 'height': 39, 'gender': {'gender': 'Female', 'confidence': 96.05907440185547}, 'age': {'minimum': 20, 'maximum': 28}}], 'date': '2023-06-28T19:37:25.853004', 'order': 1687981045}}"
31,31,31,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-183.jpg,stabilityai,1,1,0,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 96.09120178222656, 'left': 261, 'top': 94, 'width': 37, 'height': 46, 'gender': {'gender': 'Female', 'confidence': 99.85466766357422}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-06-28T19:37:26.819858', 'order': 1687981046}}"
32,32,32,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-104.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 96.53559112548828, 'left': 386, 'top': -2, 'width': 55, 'height': 69, 'gender': {'gender': 'Female', 'confidence': 82.3183364868164}, 'age': {'minimum': 21, 'maximum': 29}}, {'confidence': 96.01927185058594, 'left': 243, 'top': -3, 'width': 49, 'height': 62, 'gender': {'gender': 'Female', 'confidence': 69.63988494873047}, 'age': {'minimum': 19, 'maximum': 27}}], 'date': '2023-06-28T19:37:27.878780', 'order': 1687981047}}"
33,33,33,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-154.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.930908203125, 'left': 358, 'top': 94, 'width': 32, 'height': 45, 'gender': {'gender': 'Female', 'confidence': 99.86032104492188}, 'age': {'minimum': 18, 'maximum': 24}}, {'confidence': 98.58618927001953, 'left': 264, 'top': 298, 'width': 33, 'height': 42, 'gender': {'gender': 'Female', 'confidence': 92.27143096923828}, 'age': {'minimum': 18, 'maximum': 26}}], 'date': '2023-06-28T19:37:28.855843', 'order': 1687981048}}"
34,34,34,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-20.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 98.75171661376953, 'left': 352, 'top': 155, 'width': 31, 'height': 40, 'gender': {'gender': 'Female', 'confidence': 99.87213897705078}, 'age': {'minimum': 31, 'maximum': 41}}, {'confidence': 99.91951751708984, 'left': 229, 'top': 137, 'width': 27, 'height': 40, 'gender': {'gender': 'Female', 'confidence': 94.83760833740234}, 'age': {'minimum': 28, 'maximum': 38}}], 'date': '2023-06-28T19:37:31.521851', 'order': 1687981051}}"
35,35,35,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-144.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.93206024169922, 'left': 110, 'top': -1, 'width': 53, 'height': 62, 'gender': {'gender': 'Male', 'confidence': 99.3055648803711}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 99.82245635986328, 'left': 292, 'top': 222, 'width': 37, 'height': 50, 'gender': {'gender': 'Female', 'confidence': 99.86903381347656}, 'age': {'minimum': 26, 'maximum': 36}}, {'confidence': 99.81639099121094, 'left': 360, 'top': 66, 'width': 35, 'height': 50, 'gender': {'gender': 'Female', 'confidence': 97.35269165039062}, 'age': {'minimum': 24, 'maximum': 34}}], 'date': '2023-06-28T19:37:32.490485', 'order': 1687981052}}"
36,36,36,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-134.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.91786193847656, 'left': 254, 'top': 207, 'width': 28, 'height': 38, 'gender': {'gender': 'Female', 'confidence': 94.72179412841797}, 'age': {'minimum': 22, 'maximum': 30}}, {'confidence': 91.51566314697266, 'left': 146, 'top': 278, 'width': 23, 'height': 30, 'gender': {'gender': 'Male', 'confidence': 94.97377014160156}, 'age': {'minimum': 24, 'maximum': 34}}], 'date': '2023-06-28T19:37:33.584279', 'order': 1687981053}}"
