,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
20,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-92.jpg,stabilityai,3,1,2,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.8962631225586, 'left': 326, 'top': 93, 'width': 39, 'height': 52, 'gender': {'gender': 'Female', 'confidence': 91.45272064208984}, 'age': {'minimum': 43, 'maximum': 51}}, {'confidence': 99.92070770263672, 'left': 57, 'top': 230, 'width': 33, 'height': 43, 'gender': {'gender': 'Male', 'confidence': 87.59062957763672}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.92355346679688, 'left': 164, 'top': 305, 'width': 32, 'height': 42, 'gender': {'gender': 'Male', 'confidence': 85.95448303222656}, 'age': {'minimum': 19, 'maximum': 27}}], 'date': '2023-07-08T14:24:42.895623', 'order': 1688826282}}"
21,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-153.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.84542083740234, 'left': 194, 'top': 110, 'width': 24, 'height': 31, 'gender': {'gender': 'Male', 'confidence': 96.4377670288086}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 99.68780517578125, 'left': 370, 'top': 220, 'width': 21, 'height': 29, 'gender': {'gender': 'Female', 'confidence': 99.94268798828125}, 'age': {'minimum': 25, 'maximum': 35}}], 'date': '2023-07-08T14:24:43.949110', 'order': 1688826283}}"
22,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-62.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.89976501464844, 'left': 273, 'top': 125, 'width': 39, 'height': 52, 'gender': {'gender': 'Male', 'confidence': 55.83313751220703}, 'age': {'minimum': 36, 'maximum': 44}}, {'confidence': 99.96678924560547, 'left': 206, 'top': 259, 'width': 32, 'height': 38, 'gender': {'gender': 'Female', 'confidence': 89.90457153320312}, 'age': {'minimum': 23, 'maximum': 31}}], 'date': '2023-07-08T14:24:44.743322', 'order': 1688826284}}"
23,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-77.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.84557342529297, 'left': 154, 'top': 127, 'width': 32, 'height': 41, 'gender': {'gender': 'Male', 'confidence': 99.96925354003906}, 'age': {'minimum': 34, 'maximum': 42}}], 'date': '2023-07-08T14:24:45.649351', 'order': 1688826285}}"
24,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-193.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.95023345947266, 'left': 243, 'top': 134, 'width': 29, 'height': 37, 'gender': {'gender': 'Male', 'confidence': 99.95793151855469}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 99.78568267822266, 'left': 65, 'top': 357, 'width': 23, 'height': 29, 'gender': {'gender': 'Female', 'confidence': 99.48088836669922}, 'age': {'minimum': 28, 'maximum': 38}}], 'date': '2023-07-08T14:24:46.673274', 'order': 1688826286}}"
25,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-53.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 91.14631652832031, 'left': 138, 'top': 239, 'width': 17, 'height': 21, 'gender': {'gender': 'Male', 'confidence': 99.90802001953125}, 'age': {'minimum': 24, 'maximum': 34}}], 'date': '2023-07-08T14:24:47.574681', 'order': 1688826287}}"
26,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-120.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 95.54571533203125, 'left': 97, 'top': 277, 'width': 23, 'height': 33, 'gender': {'gender': 'Male', 'confidence': 96.47554779052734}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-07-08T14:24:48.441269', 'order': 1688826288}}"
27,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-80.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T14:24:49.152499', 'order': 1688826289}}"
28,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-145.jpg,stabilityai,2,1,1,1,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.864990234375, 'left': 200, 'top': 94, 'width': 34, 'height': 47, 'gender': {'gender': 'Male', 'confidence': 74.61907196044922}, 'age': {'minimum': 38, 'maximum': 46}}, {'confidence': 99.93995666503906, 'left': 385, 'top': 169, 'width': 31, 'height': 38, 'gender': {'gender': 'Female', 'confidence': 99.99292755126953}, 'age': {'minimum': 11, 'maximum': 19}}], 'date': '2023-07-08T14:24:49.931418', 'order': 1688826289}}"
29,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-83.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.91717529296875, 'left': 136, 'top': 110, 'width': 36, 'height': 50, 'gender': {'gender': 'Male', 'confidence': 97.19493103027344}, 'age': {'minimum': 18, 'maximum': 26}}, {'confidence': 99.98577880859375, 'left': 395, 'top': 246, 'width': 36, 'height': 47, 'gender': {'gender': 'Female', 'confidence': 99.98544311523438}, 'age': {'minimum': 13, 'maximum': 21}}], 'date': '2023-07-08T14:24:50.694977', 'order': 1688826290}}"
30,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-93.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.95982360839844, 'left': 287, 'top': 79, 'width': 36, 'height': 43, 'gender': {'gender': 'Female', 'confidence': 76.5816879272461}, 'age': {'minimum': 34, 'maximum': 42}}, {'confidence': 99.49382781982422, 'left': 136, 'top': 253, 'width': 31, 'height': 36, 'gender': {'gender': 'Female', 'confidence': 74.75611877441406}, 'age': {'minimum': 20, 'maximum': 28}}], 'date': '2023-07-08T14:24:51.664693', 'order': 1688826291}}"
31,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-28.jpg,stabilityai,1,1,0,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.47564697265625, 'left': 218, 'top': 131, 'width': 55, 'height': 57, 'gender': {'gender': 'Female', 'confidence': 93.3914794921875}, 'age': {'minimum': 16, 'maximum': 22}}], 'date': '2023-07-08T14:24:52.485415', 'order': 1688826292}}"
32,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-75.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.90567779541016, 'left': 229, 'top': 101, 'width': 32, 'height': 45, 'gender': {'gender': 'Male', 'confidence': 99.89216613769531}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 99.64254760742188, 'left': 256, 'top': 197, 'width': 32, 'height': 37, 'gender': {'gender': 'Female', 'confidence': 99.86031341552734}, 'age': {'minimum': 22, 'maximum': 30}}, {'confidence': 99.88873291015625, 'left': 386, 'top': 94, 'width': 24, 'height': 32, 'gender': {'gender': 'Female', 'confidence': 99.98963165283203}, 'age': {'minimum': 34, 'maximum': 42}}], 'date': '2023-07-08T14:24:53.569791', 'order': 1688826293}}"
